level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
20,1.95,356,771,1660,3557,7706,178,326,563,948,1541,6.89,9.3,12.4,16.53,22.04,237,430,741,1245,2016,26.1,26.7,27.2,27.7,28.1,59.3,100.8,171.9,290.5,492.0,28.6,48.7,83.0,140.2,237.6
21,2.0,365,790,1702,3648,7904,182,334,578,973,1581,6.97,9.42,12.55,16.74,22.32,243,441,760,1277,2067,26.2,26.8,27.3,27.8,28.2,60.8,103.4,176.3,297.9,504.6,29.2,49.7,84.7,143.1,242.4
22,2.05,374,810,1745,3739,8102,187,343,592,997,1620,7.06,9.53,12.71,16.95,22.59,249,452,779,1309,2119,26.3,26.9,27.4,27.9,28.3,62.3,105.9,180.7,305.4,517.3,29.8,50.6,86.4,146.0,247.3
23,2.1,383,830,1788,3830,8299,192,351,606,1021,1660,7.15,9.65,12.86,17.15,22.87,255,463,798,1341,2171,26.4,27.0,27.5,28.0,28.4,63.8,108.5,185.1,312.8,529.9,30.4,51.6,88.1,148.8,252.1
24,2.15,392,850,1830,3922,8497,196,359,621,1046,1699,7.23,9.76,13.02,17.35,23.14,261,474,817,1373,2222,26.6,27.1,27.6,28.1,28.5,65.4,111.1,189.5,320.3,542.5,30.9,52.6,89.7,151.6,256.9
25,2.2,401,869,1873,4013,8694,201,368,635,1070,1739,7.31,9.87,13.17,17.56,23.41,268,485,836,1404,2274,26.7,27.2,27.7,28.1,28.6,66.9,113.7,194.0,327.7,555.1,31.5,53.6,91.4,154.5,261.6
26,2.25,410,889,1915,4104,8892,205,376,650,1094,1778,7.4,9.99,13.32,17.75,23.67,274,496,855,1436,2326,26.8,27.3,27.8,28.2,28.7,68.4,116.3,198.4,335.2,567.7,32.1,54.6,93.1,157.3,266.4
27,2.3,420,909,1958,4195,9090,210,385,664,1119,1818,7.48,10.1,13.46,17.95,23.93,280,507,874,1468,2377,26.9,27.4,27.9,28.3,28.7,69.9,118.9,202.8,342.6,580.3,32.7,55.5,94.7,160.0,271.1
28,2.35,429,929,2000,4286,9287,214,393,679,1143,1857,7.56,10.21,13.61,18.14,24.19,286,518,893,1500,2429,27.0,27.5,28.0,28.4,28.8,71.4,121.4,207.2,350.1,593.0,33.2,56.5,96.4,162.8,275.8
29,2.4,438,948,2043,4378,9485,219,401,693,1167,1897,7.64,10.31,13.75,18.34,24.45,292,529,912,1532,2481,27.1,27.6,28.1,28.5,28.9,73.0,124.0,211.6,357.5,605.6,33.8,57.4,98.0,165.6,280.5
30,2.45,447,968,2085,4469,9682,223,410,708,1192,1936,7.72,10.42,13.89,18.53,24.7,298,540,931,1564,2532,27.2,27.7,28.1,28.6,29.0,74.5,126.6,216.0,365.0,618.2,34.4,58.4,99.6,168.3,285.1
31,2.5,456,988,2128,4560,9880,228,418,722,1216,1976,7.8,10.53,14.04,18.71,24.95,304,551,950,1596,2584,27.3,27.8,28.2,28.7,29.0,76.0,129.2,220.4,372.4,630.8,34.9,59.4,101.3,171.1,289.8
32,2.55,465,1008,2171,4651,10078,233,426,736,1240,2016,7.88,10.63,14.18,18.9,25.2,310,562,969,1628,2636,27.4,27.9,28.3,28.7,29.1,77.5,131.8,224.8,379.8,643.4,35.5,60.3,102.9,173.8,294.4
33,2.6,474,1028,2213,4742,10275,237,435,751,1265,2055,7.95,10.74,14.31,19.08,25.45,316,573,988,1660,2687,27.5,28.0,28.4,28.8,29.2,79.0,134.4,229.2,387.3,656.0,36.0,61.2,104.5,176.5,299.0
34,2.65,483,1047,2256,4834,10473,242,443,765,1289,2095,8.03,10.84,14.45,19.27,25.69,322,584,1007,1692,2739,27.6,28.1,28.5,28.9,29.3,80.6,137.0,233.6,394.7,668.6,36.6,62.2,106.1,179.2,303.6
35,2.7,492,1067,2298,4925,10670,246,451,780,1313,2134,8.1,10.94,14.59,19.45,25.93,328,595,1026,1724,2791,27.7,28.1,28.6,29.0,29.3,82.1,139.5,238.0,402.2,681.3,37.1,63.1,107.7,181.9,308.2
36,2.75,502,1087,2341,5016,10868,251,460,794,1338,2174,8.18,11.04,14.72,19.63,26.17,334,606,1045,1756,2842,27.8,28.2,28.7,29.0,29.4,83.6,142.1,242.4,409.6,693.9,37.7,64.1,109.3,184.6,312.8
37,2.8,511,1107,2383,5107,11066,255,468,809,1362,2213,8.25,11.14,14.85,19.8,26.41,340,617,1064,1788,2894,27.9,28.3,28.7,29.1,29.5,85.1,144.7,246.8,417.1,706.5,38.2,65.0,110.9,187.3,317.3
38,2.85,520,1126,2426,5198,11263,260,477,823,1386,2253,8.33,11.24,14.99,19.98,26.64,347,628,1083,1819,2946,28.0,28.4,28.8,29.2,29.5,86.6,147.3,251.3,424.5,719.1,38.8,65.9,112.4,190.0,321.8
39,2.9,529,1146,2468,5290,11461,264,485,838,1411,2292,8.4,11.34,15.12,20.16,26.87,353,639,1102,1851,2997,28.1,28.5,28.9,29.3,29.6,88.2,149.9,255.7,432.0,731.7,39.3,66.8,114.0,192.7,326.3
40,2.95,538,1166,2511,5381,11658,269,493,852,1435,2332,8.47,11.43,15.25,20.33,27.1,359,650,1121,1883,3049,28.1,28.6,29.0,29.3,29.7,89.7,152.5,260.1,439.4,744.3,39.9,67.8,115.6,195.3,330.8
41,3.0,547,1186,2554,5472,11856,274,502,866,1459,2371,8.54,11.53,15.37,20.5,27.33,365,661,1140,1915,3101,28.2,28.7,29.0,29.4,29.7,91.2,155.0,264.5,446.9,757.0,40.4,68.7,117.2,197.9,335.3
42,3.05,556,1205,2596,5563,12054,278,510,881,1484,2411,8.61,11.63,15.5,20.67,27.56,371,672,1159,1947,3152,28.3,28.7,29.1,29.5,29.8,92.7,157.6,268.9,454.3,769.6,40.9,69.6,118.7,200.6,339.8
43,3.1,565,1225,2639,5654,12251,283,518,895,1508,2450,8.68,11.72,15.63,20.84,27.79,377,683,1178,1979,3204,28.4,28.8,29.2,29.5,29.9,94.2,160.2,273.3,461.8,782.2,41.5,70.5,120.3,203.2,344.2
44,3.15,575,1245,2681,5746,12449,287,527,910,1532,2490,8.75,11.82,15.75,21.01,28.01,383,694,1197,2011,3256,28.5,28.9,29.3,29.6,29.9,95.8,162.8,277.7,469.2,794.8,42.0,71.4,121.8,205.8,348.6
45,3.2,584,1265,2724,5837,12646,292,535,924,1556,2529,8.82,11.91,15.88,21.17,28.23,389,705,1216,2043,3308,28.6,29.0,29.3,29.7,30.0,97.3,165.4,282.1,476.7,807.4,42.5,72.3,123.4,208.4,353.1
46,3.25,593,1284,2766,5928,12844,296,543,939,1581,2569,8.89,12.0,16.0,21.34,28.45,395,716,1235,2075,3359,28.7,29.0,29.4,29.7,30.1,98.8,168.0,286.5,484.1,820.0,43.1,73.2,124.9,211.0,357.5
47,3.3,602,1304,2809,6019,13042,301,552,953,1605,2608,8.96,12.09,16.13,21.5,28.67,401,727,1254,2107,3411,28.7,29.1,29.5,29.8,30.1,100.3,170.5,290.9,491.6,832.7,43.6,74.1,126.4,213.6,361.9
48,3.35,611,1324,2852,6110,13239,306,560,967,1629,2648,9.03,12.19,16.25,21.66,28.88,407,738,1273,2139,3463,28.8,29.2,29.5,29.9,30.2,101.8,173.1,295.3,499.0,845.3,44.1,75.0,128.0,216.2,366.2
49,3.4,620,1344,2894,6202,13437,310,568,982,1654,2687,9.09,12.28,16.37,21.82,29.1,413,749,1292,2171,3514,28.9,29.3,29.6,29.9,30.2,103.4,175.7,299.7,506.5,857.9,44.7,75.9,129.5,218.8,370.6
50,3.45,629,1363,2937,6293,13634,315,577,996,1678,2727,9.16,12.37,16.49,21.98,29.31,420,760,1311,2202,3566,29.0,29.3,29.7,30.0,30.3,104.9,178.3,304.2,513.9,870.5,45.2,76.8,131.0,221.4,375.0
51,3.5,638,1383,2979,6384,13832,319,585,1011,1702,2766,9.23,12.46,16.61,22.14,29.52,426,771,1330,2234,3618,29.0,29.4,29.7,30.1,30.4,106.4,180.9,308.6,521.4,883.1,45.7,77.7,132.5,223.9,379.3
52,3.55,648,1403,3022,6475,14030,324,594,1025,1727,2806,9.29,12.54,16.73,22.3,29.73,432,782,1349,2266,3669,29.1,29.5,29.8,30.1,30.4,107.9,183.5,313.0,528.8,895.7,46.2,78.6,134.0,226.5,383.6
53,3.6,657,1423,3064,6566,14227,328,602,1040,1751,2845,9.36,12.63,16.84,22.46,29.94,438,793,1368,2298,3721,29.2,29.5,29.9,30.2,30.5,109.4,186.0,317.4,536.3,908.4,46.7,79.5,135.5,229.0,388.0
54,3.65,666,1442,3107,6658,14425,333,610,1054,1775,2885,9.42,12.72,16.96,22.61,30.15,444,804,1387,2330,3773,29.3,29.6,29.9,30.2,30.5,111.0,188.6,321.8,543.7,921.0,47.3,80.3,137.1,231.6,392.3
55,3.7,675,1462,3149,6749,14622,337,619,1069,1800,2924,9.49,12.81,17.07,22.77,30.36,450,815,1406,2362,3824,29.3,29.7,30.0,30.3,30.6,112.5,191.2,326.2,551.2,933.6,47.8,81.2,138.6,234.1,396.5
56,3.75,684,1482,3192,6840,14820,342,627,1083,1824,2964,9.55,12.89,17.19,22.92,30.56,456,826,1425,2394,3876,29.4,29.7,30.1,30.4,30.6,114.0,193.8,330.6,558.6,946.2,48.3,82.1,140.0,236.6,400.8
57,3.8,693,1502,3235,6931,15018,347,635,1097,1848,3004,9.61,12.98,17.3,23.07,30.76,462,838,1444,2426,3928,29.5,29.8,30.1,30.4,30.7,115.5,196.4,335.0,566.0,958.8,48.8,83.0,141.5,239.2,405.1
58,3.85,702,1522,3277,7022,15215,351,644,1112,1873,3043,9.68,13.06,17.42,23.22,30.96,468,849,1463,2458,3979,29.5,29.9,30.2,30.5,30.8,117.0,199.0,339.4,573.5,971.4,49.3,83.8,143.0,241.7,409.4
59,3.9,711,1541,3320,7114,15413,356,652,1126,1897,3083,9.74,13.15,17.53,23.37,31.16,474,860,1482,2490,4031,29.6,29.9,30.2,30.5,30.8,118.6,201.6,343.8,580.9,984.0,49.8,84.7,144.5,244.2,413.6
60,3.95,720,1561,3362,7205,15610,360,660,1141,1921,3122,9.8,13.23,17.64,23.52,31.36,480,871,1501,2522,4083,29.7,30.0,30.3,30.6,30.9,120.1,204.1,348.2,588.4,996.7,50.3,85.6,146.0,246.7,417.8
