level,reachable_now,level_factor,xp_total,xp_this_level,group_min,group_max,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
18,yes,3.7,46525,4301,9,36,511,1106,2383,5106,11063,255,468,808,1362,2213,8.25,11.14,14.85,19.8,26.4,340,617,1064,1787,2893,22.8,23.7,24.5,25.2,25.8,85.1,144.7,246.8,417.0,706.3,38.2,65.0,110.8,187.3,317.2
19,yes,3.996,50980,4455,9,38,551,1195,2573,5515,11948,276,505,873,1471,2390,8.57,11.58,15.43,20.58,27.44,368,666,1149,1930,3125,23.0,23.8,24.6,25.3,26.0,91.9,156.2,266.5,450.4,762.8,40.6,69.1,117.9,199.2,337.4
20,yes,4.316,55587,4607,10,40,596,1290,2779,5956,12904,298,546,943,1588,2581,8.91,12.03,16.04,21.39,28.52,397,720,1241,2084,3375,23.2,24.0,24.8,25.5,26.1,99.3,168.7,287.9,486.4,823.9,43.2,73.5,125.4,211.8,358.8
21,yes,4.661,60341,4754,10,42,643,1394,3002,6432,13936,322,590,1018,1715,2787,9.26,12.5,16.67,22.23,29.63,429,777,1340,2251,3645,23.3,24.2,24.9,25.6,26.2,107.2,182.2,310.9,525.3,889.8,46.0,78.2,133.3,225.3,381.6
22,yes,5.034,65241,4900,11,44,695,1505,3242,6947,15051,347,637,1100,1852,3010,9.62,12.99,17.32,23.1,30.8,463,839,1447,2431,3936,23.5,24.3,25.0,25.7,26.3,115.8,196.8,335.8,567.3,961.0,48.9,83.1,141.8,239.6,405.8
23,yes,5.437,70282,5041,11,46,750,1626,3501,7502,16255,375,688,1188,2001,3251,10.0,13.5,18.0,24.0,32.01,500,907,1563,2626,4251,23.7,24.5,25.2,25.8,26.4,125.0,212.6,362.6,612.7,1037.8,52.0,88.4,150.8,254.8,431.6
24,yes,5.871,75463,5181,12,48,810,1756,3781,8103,17556,405,743,1283,2161,3511,10.39,14.03,18.71,24.95,33.26,540,979,1688,2836,4591,23.8,24.6,25.3,26.0,26.6,135.0,229.6,391.6,661.7,1120.9,55.3,94.0,160.4,271.0,459.0
25,yes,6.341,80780,5317,12,50,875,1896,4084,8751,18960,438,802,1386,2334,3792,10.8,14.58,19.44,25.92,34.57,583,1057,1823,3063,4959,24.0,24.8,25.5,26.1,26.7,145.8,247.9,423.0,714.7,1210.5,58.8,100.0,170.6,288.2,488.2
26,yes,6.848,86233,5453,13,52,945,2048,4410,9451,20477,473,866,1496,2520,4095,11.23,15.15,20.21,26.94,35.92,630,1142,1969,3308,5356,24.2,24.9,25.6,26.2,26.8,157.5,267.8,456.8,771.8,1307.4,62.5,106.3,181.4,306.5,519.1
27,yes,7.396,91817,5584,13,54,1021,2212,4763,10207,22115,510,936,1616,2722,4423,11.67,15.75,21.0,28.0,37.33,680,1233,2126,3572,5784,24.3,25.0,25.7,26.3,26.9,170.1,289.2,493.3,833.6,1412.0,66.5,113.1,192.9,325.9,552.1
28,yes,7.988,97533,5716,14,56,1102,2388,5144,11024,23884,551,1010,1745,2940,4777,12.12,16.37,21.82,29.1,38.8,735,1332,2297,3858,6247,24.5,25.2,25.8,26.4,27.0,183.7,312.3,532.8,900.3,1524.9,70.7,120.3,205.2,346.6,587.2
29,yes,8.627,103376,5843,14,58,1191,2580,5556,11905,25795,595,1091,1885,3175,5159,12.6,17.01,22.68,30.24,40.32,794,1439,2480,4167,6746,24.6,25.3,26.0,26.6,27.1,198.4,337.3,575.4,972.3,1646.9,75.2,127.9,218.2,368.7,624.5
30,yes,9.317,109346,5970,15,60,1286,2786,6000,12858,27859,643,1179,2036,3429,5572,13.09,17.68,23.57,31.42,41.9,857,1554,2679,4500,7286,24.8,25.5,26.1,26.7,27.2,214.3,364.3,621.5,1050.1,1778.7,80.0,136.0,232.0,392.1,664.1
31,no,10.063,115442,6096,15,60,1389,3009,6480,13886,30087,694,1273,2199,3703,6017,13.61,18.37,24.49,32.66,43.54,926,1678,2893,4860,7869,24.9,25.6,26.2,26.8,27.3,231.4,393.4,671.2,1134.1,1921.0,85.1,144.7,246.8,417.0,706.3
32,no,10.868,121660,6218,16,60,1500,3249,6999,14997,32494,750,1375,2375,3999,6499,14.14,19.09,25.45,33.94,45.25,1000,1812,3124,5249,8499,25.0,25.7,26.3,26.9,27.4,250.0,424.9,724.9,1224.8,2074.6,90.5,153.9,262.5,443.5,751.2
33,no,11.737,128000,6340,16,60,1620,3509,7559,16197,35094,810,1485,2565,4319,7019,14.7,19.84,26.45,35.27,47.03,1080,1957,3374,5669,9178,25.2,25.8,26.4,27.0,27.5,270.0,458.9,782.9,1322.8,2240.6,96.2,163.6,279.1,471.6,798.9
34,no,12.676,134459,6459,17,60,1749,3790,8163,17493,37901,875,1604,2770,4665,7580,15.27,20.62,27.49,36.65,48.87,1166,2114,3644,6123,9913,25.3,26.0,26.6,27.1,27.6,291.5,495.6,845.5,1428.6,2419.9,102.4,174.0,296.8,501.6,849.6
35,no,13.69,141038,6579,17,60,1889,4093,8816,18892,40933,945,1732,2991,5038,8187,15.87,21.43,28.57,38.09,50.79,1259,2283,3936,6612,10706,25.5,26.1,26.7,27.2,27.7,314.9,535.3,913.1,1542.9,2613.4,108.9,185.1,315.7,533.4,903.5
36,no,14.785,147733,6695,18,60,2040,4421,9522,20404,44208,1020,1870,3231,5441,8842,16.49,22.27,29.69,39.59,52.78,1360,2465,4251,7141,11562,25.6,26.2,26.8,27.3,27.8,340.1,578.1,986.2,1666.3,2822.5,115.8,196.8,335.7,567.3,960.9
37,no,15.968,154544,6811,18,60,2204,4774,10284,22036,47745,1102,2020,3489,5876,9549,17.14,23.14,30.85,41.14,54.85,1469,2663,4591,7713,12487,25.7,26.3,26.9,27.4,27.9,367.3,624.4,1065.1,1799.6,3048.3,123.1,209.3,357.1,603.3,1021.9
38,no,17.246,161470,6926,19,60,2380,5156,11106,23799,51564,1190,2182,3768,6346,10313,17.81,24.05,32.06,42.75,57.0,1587,2876,4958,8330,13486,25.8,26.4,27.0,27.5,28.0,396.6,674.3,1150.3,1943.6,3292.2,130.9,222.6,379.7,641.6,1086.8
39,no,18.625,168509,7039,19,60,2570,5569,11995,25703,55690,1285,2356,4070,6854,11138,18.51,24.99,33.32,44.43,59.24,1714,3106,5355,8996,14565,26.0,26.6,27.1,27.6,28.1,428.4,728.2,1242.3,2099.1,3555.6,139.3,236.7,403.8,682.4,1155.8
40,no,20.115,175660,7151,20,60,2776,6014,12954,27759,60145,1388,2545,4395,7402,12029,19.24,25.97,34.63,46.17,61.56,1851,3354,5783,9716,15730,26.1,26.7,27.2,27.7,28.1,462.7,786.5,1341.7,2267.0,3840.0,148.1,251.8,429.5,725.7,1229.2
41,no,21.725,182922,7262,20,60,2998,6496,13991,29980,64956,1499,2748,4747,7995,12991,19.99,26.99,35.99,47.98,63.98,1999,3623,6246,10493,16989,26.2,26.8,27.3,27.8,28.2,499.7,849.4,1449.0,2448.4,4147.2,157.5,267.8,456.8,771.8,1307.3
42,no,23.462,190293,7371,21,60,3238,7015,15110,32378,70153,1619,2968,5127,8634,14031,20.78,28.05,37.4,49.87,66.49,2159,3912,6745,11332,18348,26.3,26.9,27.4,27.9,28.3,539.6,917.4,1564.9,2644.2,4479.0,167.5,284.8,485.8,820.8,1390.3
43,no,25.339,197773,7480,21,60,3497,7577,16319,34968,75765,1748,3205,5537,9325,15153,21.59,29.15,38.87,51.82,69.1,2331,4225,7285,12239,19815,26.4,27.0,27.5,28.0,28.4,582.8,990.8,1690.1,2855.8,4837.3,178.1,302.8,516.6,872.9,1478.6
44,no,27.367,205361,7588,22,60,3777,8183,17624,37766,81826,1888,3462,5980,10071,16365,22.44,30.29,40.39,53.86,71.81,2518,4563,7868,13218,21401,26.6,27.1,27.6,28.1,28.5,629.4,1070.0,1825.4,3084.2,5224.3,189.5,322.1,549.4,928.4,1572.5
45,no,29.556,213056,7695,22,60,4079,8837,19034,40787,88372,2039,3739,6458,10877,17674,23.32,31.48,41.98,55.97,74.62,2719,4928,8497,14276,23113,26.7,27.2,27.7,28.1,28.6,679.8,1155.6,1971.4,3331.0,5642.2,201.5,342.5,584.3,987.3,1672.4
46,no,31.92,220856,7800,23,60,4405,9544,20557,44050,95442,2203,4038,6975,11747,19088,24.24,32.72,43.62,58.16,77.55,2937,5323,9177,15418,24962,26.8,27.3,27.8,28.2,28.7,734.2,1248.1,2129.1,3597.4,6093.6,214.3,364.3,621.4,1050.0,1778.6
47,no,34.474,228761,7905,23,60,4757,10308,22201,47574,103078,2379,4361,7533,12686,20616,25.19,34.0,45.33,60.45,80.59,3172,5749,9911,16651,26959,26.9,27.4,27.9,28.3,28.7,792.9,1347.9,2299.4,3885.2,6581.1,227.9,387.4,660.9,1116.7,1891.5
48,no,37.232,236769,8008,24,60,5138,11132,23977,51380,111324,2569,4710,8135,13701,22265,26.17,35.33,47.11,62.82,83.76,3425,6208,10704,17983,29115,27.0,27.5,28.0,28.4,28.8,856.3,1455.8,2483.4,4196.0,7107.6,242.4,412.0,702.9,1187.6,2011.6
49,no,40.211,244881,8112,24,60,5549,12023,25896,55491,120230,2775,5087,8786,14797,24046,27.2,36.72,48.96,65.28,87.04,3699,6705,11561,19422,31445,27.1,27.6,28.1,28.5,28.9,924.8,1572.2,2682.0,4531.7,7676.2,257.8,438.2,747.5,1263.0,2139.4
50,no,43.427,253095,8214,25,60,5993,12985,27967,59930,129848,2996,5494,9489,15981,25970,28.27,38.16,50.88,67.84,90.46,3995,7242,12485,20975,33960,27.2,27.7,28.1,28.6,29.0,998.8,1698.0,2896.6,4894.3,8290.3,274.1,466.0,795.0,1343.2,2275.2
51,no,46.902,261409,8314,25,60,6472,14024,30205,64724,140236,3236,5933,10248,17260,28047,29.38,39.66,52.88,70.5,94.01,4315,7821,13484,22653,36677,27.3,27.8,28.2,28.7,29.0,1078.7,1833.9,3128.3,5285.8,8953.5,291.5,495.6,845.4,1428.5,2419.7
52,no,50.654,269825,8416,26,60,6990,15145,32621,69902,151455,3495,6408,11068,18641,30291,30.53,41.21,54.95,73.27,97.69,4660,8447,14563,24466,39611,27.4,27.9,28.3,28.7,29.1,1165.0,1980.6,3378.6,5708.7,9669.8,310.0,527.1,899.1,1519.2,2573.4
53,no,54.706,278339,8514,26,60,7549,16357,35231,75494,163571,3775,6920,11953,20132,32714,31.73,42.83,57.11,76.14,101.53,5033,9122,15728,26423,42780,27.5,28.0,28.4,28.8,29.2,1258.2,2139.0,3648.9,6165.4,10443.4,329.7,560.6,956.2,1615.7,2736.8
54,no,59.083,286953,8614,27,60,8153,17666,38049,81534,176657,4077,7474,12910,21742,35331,32.97,44.51,59.35,79.13,105.51,5436,9852,16986,28537,46203,27.6,28.1,28.5,28.9,29.3,1358.9,2310.1,3940.8,6658.6,11278.9,350.7,596.2,1017.0,1718.3,2910.6
55,no,63.809,295665,8712,27,60,8806,19079,41093,88057,190789,4403,8072,13942,23482,38158,34.26,46.26,61.68,82.24,109.65,5870,10640,18345,30820,49899,27.7,28.1,28.6,29.0,29.3,1467.6,2494.9,4256.1,7191.3,12181.2,372.9,634.0,1081.5,1827.4,3095.5
56,no,68.914,304474,8809,28,60,9510,20605,44381,95101,206052,4755,8718,15058,25360,41210,35.61,48.07,64.1,85.46,113.95,6340,11491,19813,33285,53891,27.8,28.2,28.7,29.0,29.4,1585.0,2694.5,4596.6,7766.6,13155.7,396.6,674.3,1150.2,1943.5,3292.0
57,no,74.427,313379,8905,28,60,10271,22254,47931,102709,222537,5135,9415,16262,27389,44507,37.01,49.96,66.61,88.81,118.42,6847,12411,21398,35948,58202,27.9,28.3,28.7,29.1,29.5,1711.8,2910.1,4964.3,8387.9,14208.1,421.8,717.1,1223.3,2066.9,3501.1
58,no,80.381,322381,9002,29,60,11093,24034,51765,110926,240340,5546,10168,17563,29580,48068,38.46,51.92,69.22,92.3,123.07,7395,13404,23110,38824,62858,28.0,28.4,28.8,29.2,29.5,1848.8,3142.9,5361.4,9059.0,15344.8,448.6,762.6,1301.0,2198.2,3723.4
59,no,86.812,331478,9097,29,60,11980,25957,55907,119800,259567,5990,10982,18968,31947,51913,39.97,53.95,71.94,95.92,127.89,7987,14476,24958,41930,67887,28.1,28.5,28.9,29.3,29.6,1996.7,3394.3,5790.3,9783.7,16572.3,477.1,811.1,1383.6,2337.7,3959.9
60,no,93.757,340669,9191,30,60,12938,28033,60379,129384,280332,6469,11860,20486,34502,56066,41.53,56.07,74.76,99.68,132.91,8626,15634,26955,45284,73318,28.1,28.6,29.0,29.3,29.7,2156.4,3665.9,6253.6,10566.4,17898.1,507.4,862.6,1471.4,2486.2,4211.3
