level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
11,1.5,315,682,1470,3150,6825,158,289,499,840,1365,6.48,8.75,11.67,15.55,20.74,210,381,656,1102,1785,26.2,26.8,27.3,27.8,28.2,52.5,89.2,152.2,257.2,435.8,26.0,44.2,75.3,127.3,215.6
12,1.55,326,705,1519,3255,7052,163,298,515,868,1410,6.59,8.89,11.86,15.81,21.08,217,393,678,1139,1844,26.3,26.9,27.4,27.9,28.3,54.2,92.2,157.3,265.8,450.3,26.7,45.3,77.3,130.6,221.3
13,1.6,336,728,1568,3360,7280,168,308,532,896,1456,6.69,9.04,12.05,16.06,21.42,224,406,700,1176,1904,26.4,27.0,27.5,28.0,28.4,56.0,95.2,162.4,274.4,464.8,27.3,46.5,79.3,134.0,227.0
14,1.65,346,751,1617,3465,7507,173,318,549,924,1501,6.8,9.18,12.23,16.31,21.75,231,419,722,1213,1963,26.6,27.1,27.6,28.1,28.5,57.7,98.2,167.5,283.0,479.3,28.0,47.6,81.3,137.3,232.6
15,1.7,357,774,1666,3570,7735,179,327,565,952,1547,6.9,9.31,12.42,16.56,22.08,238,431,744,1250,2023,26.7,27.2,27.7,28.1,28.6,59.5,101.2,172.6,291.6,493.9,28.7,48.8,83.2,140.7,238.3
16,1.75,368,796,1715,3675,7962,184,337,582,980,1592,7.0,9.45,12.6,16.8,22.4,245,444,766,1286,2082,26.8,27.3,27.8,28.2,28.7,61.2,104.1,177.6,300.1,508.4,29.4,49.9,85.2,144.0,243.8
17,1.8,378,819,1764,3780,8190,189,346,598,1008,1638,7.1,9.58,12.78,17.04,22.72,252,457,788,1323,2142,26.9,27.4,27.9,28.3,28.7,63.0,107.1,182.7,308.7,522.9,30.0,51.1,87.1,147.2,249.4
18,1.85,389,842,1813,3885,8418,194,356,615,1036,1684,7.2,9.72,12.95,17.27,23.03,259,469,809,1360,2202,27.0,27.5,28.0,28.4,28.8,64.8,110.1,187.8,317.3,537.4,30.7,52.2,89.1,150.5,254.9
19,1.9,399,864,1862,3990,8645,199,366,632,1064,1729,7.29,9.85,13.13,17.51,23.34,266,482,831,1396,2261,27.1,27.6,28.1,28.5,28.9,66.5,113.0,192.8,325.8,551.9,31.4,53.3,91.0,153.7,260.4
20,1.95,410,887,1911,4095,8873,205,375,648,1092,1775,7.39,9.98,13.3,17.73,23.65,273,495,853,1433,2321,27.2,27.7,28.1,28.6,29.0,68.3,116.0,197.9,334.4,566.5,32.0,54.5,92.9,157.0,265.9
21,2.0,420,910,1960,4200,9100,210,385,665,1120,1820,7.48,10.1,13.47,17.96,23.95,280,508,875,1470,2380,27.3,27.8,28.2,28.7,29.0,70.0,119.0,203.0,343.0,581.0,32.7,55.6,94.8,160.2,271.3
22,2.05,430,933,2009,4305,9327,215,395,682,1148,1865,7.58,10.23,13.64,18.18,24.24,287,520,897,1507,2439,27.4,27.9,28.3,28.7,29.1,71.7,122.0,208.1,351.6,595.5,33.3,56.7,96.7,163.4,276.8
23,2.1,441,956,2058,4410,9555,221,404,698,1176,1911,7.67,10.35,13.8,18.4,24.54,294,533,919,1544,2499,27.5,28.0,28.4,28.8,29.2,73.5,125.0,213.2,360.2,610.1,34.0,57.8,98.6,166.6,282.1
24,2.15,452,978,2107,4515,9783,226,414,715,1204,1957,7.76,10.47,13.97,18.62,24.83,301,546,941,1580,2559,27.6,28.1,28.5,28.9,29.3,75.3,127.9,218.2,368.7,624.6,34.6,58.9,100.5,169.7,287.5
25,2.2,462,1001,2156,4620,10010,231,424,732,1232,2002,7.85,10.6,14.13,18.84,25.12,308,558,963,1617,2618,27.7,28.1,28.6,29.0,29.3,77.0,130.9,223.3,377.3,639.1,35.3,60.0,102.3,172.9,292.8
26,2.25,472,1024,2205,4725,10238,236,433,748,1260,2048,7.94,10.72,14.29,19.05,25.4,315,571,984,1654,2678,27.8,28.2,28.7,29.0,29.4,78.8,133.9,228.4,385.9,653.6,35.9,61.1,104.2,176.0,298.2
27,2.3,483,1046,2254,4830,10465,241,443,765,1288,2093,8.02,10.83,14.44,19.26,25.68,322,584,1006,1690,2737,27.9,28.3,28.7,29.1,29.5,80.5,136.8,233.4,394.4,668.1,36.6,62.2,106.0,179.1,303.4
28,2.35,494,1069,2303,4935,10692,247,452,781,1316,2138,8.11,10.95,14.6,19.47,25.96,329,596,1028,1727,2796,28.0,28.4,28.8,29.2,29.5,82.2,139.8,238.5,403.0,682.7,37.2,63.2,107.9,182.2,308.7
29,2.4,504,1092,2352,5040,10920,252,462,798,1344,2184,8.2,11.07,14.76,19.67,26.23,336,609,1050,1764,2856,28.1,28.5,28.9,29.3,29.6,84.0,142.8,243.6,411.6,697.2,37.8,64.3,109.7,185.3,313.9
30,2.45,515,1115,2401,5145,11148,257,472,815,1372,2230,8.28,11.18,14.91,19.88,26.5,343,622,1072,1801,2916,28.1,28.6,29.0,29.3,29.7,85.8,145.8,248.7,420.2,711.7,38.5,65.4,111.5,188.4,319.2
31,2.5,525,1138,2450,5250,11375,262,481,831,1400,2275,8.37,11.29,15.06,20.08,26.77,350,634,1094,1838,2975,28.2,28.7,29.0,29.4,29.7,87.5,148.8,253.8,428.8,726.2,39.1,66.4,113.3,191.5,324.4
32,2.55,535,1160,2499,5355,11602,268,491,848,1428,2320,8.45,11.41,15.21,20.28,27.04,357,647,1116,1874,3034,28.3,28.7,29.1,29.5,29.8,89.2,151.7,258.8,437.3,740.8,39.7,67.5,115.1,194.6,329.6
33,2.6,546,1183,2548,5460,11830,273,500,864,1456,2366,8.53,11.52,15.36,20.48,27.3,364,660,1138,1911,3094,28.4,28.8,29.2,29.5,29.9,91.0,154.7,263.9,445.9,755.3,40.3,68.6,116.9,197.6,334.7
34,2.65,557,1206,2597,5565,12058,278,510,881,1484,2412,8.61,11.63,15.51,20.67,27.56,371,672,1159,1948,3154,28.5,28.9,29.3,29.6,29.9,92.8,157.7,269.0,454.5,769.8,40.9,69.6,118.7,200.6,339.8
35,2.7,567,1229,2646,5670,12285,284,520,898,1512,2457,8.69,11.74,15.65,20.87,27.82,378,685,1181,1985,3213,28.6,29.0,29.3,29.7,30.0,94.5,160.7,274.1,463.1,784.4,41.6,70.7,120.5,203.7,345.0
36,2.75,578,1251,2695,5775,12512,289,529,914,1540,2502,8.77,11.85,15.79,21.06,28.08,385,698,1203,2021,3272,28.7,29.0,29.4,29.7,30.1,96.2,163.6,279.1,471.6,798.9,42.2,71.7,122.3,206.7,350.1
37,2.8,588,1274,2744,5880,12740,294,539,931,1568,2548,8.85,11.95,15.94,21.25,28.33,392,710,1225,2058,3332,28.7,29.1,29.5,29.8,30.1,98.0,166.6,284.2,480.2,813.4,42.8,72.7,124.1,209.7,355.2
38,2.85,598,1297,2793,5985,12968,299,549,948,1596,2594,8.93,12.06,16.08,21.44,28.59,399,723,1247,2095,3392,28.8,29.2,29.5,29.9,30.2,99.8,169.6,289.3,488.8,827.9,43.4,73.8,125.9,212.7,360.2
39,2.9,609,1320,2842,6090,13195,305,558,964,1624,2639,9.01,12.16,16.22,21.63,28.84,406,736,1269,2132,3451,28.9,29.3,29.6,29.9,30.2,101.5,172.6,294.4,497.4,842.5,44.0,74.8,127.6,215.6,365.3
40,2.95,620,1342,2891,6195,13423,310,568,981,1652,2685,9.09,12.27,16.36,21.81,29.08,413,749,1291,2168,3511,29.0,29.3,29.7,30.0,30.3,103.3,175.5,299.4,505.9,857.0,44.6,75.8,129.4,218.6,370.3
41,3.0,630,1365,2940,6300,13650,315,578,998,1680,2730,9.17,12.37,16.5,22.0,29.33,420,761,1312,2205,3570,29.0,29.4,29.7,30.1,30.4,105.0,178.5,304.5,514.5,871.5,45.2,76.9,131.1,221.6,375.3
42,3.05,640,1388,2989,6405,13878,320,587,1014,1708,2776,9.24,12.48,16.63,22.18,29.57,427,774,1334,2242,3630,29.1,29.5,29.8,30.1,30.4,106.8,181.5,309.6,523.1,886.0,45.8,77.9,132.9,224.5,380.3
43,3.1,651,1410,3038,6510,14105,326,597,1031,1736,2821,9.32,12.58,16.77,22.36,29.81,434,787,1356,2278,3689,29.2,29.5,29.9,30.2,30.5,108.5,184.4,314.6,531.6,900.5,46.4,78.9,134.6,227.5,385.3
44,3.15,662,1433,3087,6615,14332,331,606,1047,1764,2866,9.39,12.68,16.9,22.54,30.05,441,799,1378,2315,3748,29.3,29.6,29.9,30.2,30.5,110.2,187.4,319.7,540.2,915.1,47.0,79.9,136.4,230.4,390.2
45,3.2,672,1456,3136,6720,14560,336,616,1064,1792,2912,9.47,12.78,17.04,22.72,30.29,448,812,1400,2352,3808,29.3,29.7,30.0,30.3,30.6,112.0,190.4,324.8,548.8,929.6,47.6,80.9,138.1,233.3,395.2
46,3.25,682,1479,3185,6825,14788,341,626,1081,1820,2958,9.54,12.88,17.17,22.89,30.53,455,825,1422,2389,3868,29.4,29.7,30.1,30.4,30.6,113.8,193.4,329.9,557.4,944.1,48.2,82.0,139.8,236.2,400.1
47,3.3,693,1502,3234,6930,15015,346,635,1097,1848,3003,9.61,12.98,17.3,23.07,30.76,462,837,1444,2426,3927,29.5,29.8,30.1,30.4,30.7,115.5,196.4,335.0,566.0,958.7,48.8,83.0,141.5,239.1,405.0
48,3.35,704,1524,3283,7035,15242,352,645,1114,1876,3048,9.69,13.07,17.43,23.24,30.99,469,850,1466,2462,3986,29.5,29.9,30.2,30.5,30.8,117.2,199.3,340.0,574.5,973.2,49.4,84.0,143.2,242.0,409.9
49,3.4,714,1547,3332,7140,15470,357,655,1131,1904,3094,9.76,13.17,17.56,23.42,31.22,476,863,1488,2499,4046,29.6,29.9,30.2,30.5,30.8,119.0,202.3,345.1,583.1,987.7,50.0,85.0,144.9,244.9,414.8
50,3.45,725,1570,3381,7245,15698,362,664,1147,1932,3140,9.83,13.27,17.69,23.59,31.45,483,875,1509,2536,4106,29.7,30.0,30.3,30.6,30.9,120.8,205.3,350.2,591.7,1002.2,50.6,86.0,146.6,247.8,419.7
51,3.5,735,1592,3430,7350,15925,368,674,1164,1960,3185,9.9,13.36,17.82,23.76,31.68,490,888,1531,2572,4165,29.7,30.1,30.4,30.6,30.9,122.5,208.2,355.2,600.2,1016.8,51.2,87.0,148.3,250.6,424.6
52,3.55,746,1615,3479,7455,16153,373,683,1180,1988,3230,9.97,13.46,17.95,23.93,31.9,497,901,1553,2609,4224,29.8,30.1,30.4,30.7,31.0,124.2,211.2,360.3,608.8,1031.3,51.7,88.0,150.0,253.5,429.4
53,3.6,756,1638,3528,7560,16380,378,693,1197,2016,3276,10.04,13.55,18.07,24.1,32.13,504,914,1575,2646,4284,29.9,30.2,30.5,30.8,31.0,126.0,214.2,365.4,617.4,1045.8,52.3,88.9,151.7,256.4,434.2
54,3.65,767,1661,3577,7665,16608,383,703,1214,2044,3322,10.11,13.65,18.2,24.26,32.35,511,926,1597,2683,4344,29.9,30.2,30.5,30.8,31.1,127.8,217.2,370.5,626.0,1060.3,52.9,89.9,153.4,259.2,439.1
55,3.7,777,1684,3626,7770,16835,389,712,1230,2072,3367,10.18,13.74,18.32,24.43,32.57,518,939,1619,2720,4403,30.0,30.3,30.6,30.9,31.1,129.5,220.2,375.6,634.6,1074.9,53.5,90.9,155.1,262.0,443.9
56,3.75,788,1706,3675,7875,17062,394,722,1247,2100,3412,10.25,13.83,18.44,24.59,32.79,525,952,1641,2756,4462,30.1,30.4,30.6,30.9,31.2,131.2,223.1,380.6,643.1,1089.4,54.1,91.9,156.8,264.9,448.7
57,3.8,798,1729,3724,7980,17290,399,732,1264,2128,3458,10.32,13.93,18.57,24.76,33.01,532,964,1662,2793,4522,30.1,30.4,30.7,31.0,31.2,133.0,226.1,385.7,651.7,1103.9,54.6,92.9,158.4,267.7,453.4
58,3.85,808,1752,3773,8085,17518,404,741,1280,2156,3504,10.38,14.02,18.69,24.92,33.22,539,977,1684,2830,4582,30.2,30.5,30.8,31.0,31.3,134.8,229.1,390.8,660.3,1118.4,55.2,93.8,160.1,270.5,458.2
59,3.9,819,1775,3822,8190,17745,410,751,1297,2184,3549,10.45,14.11,18.81,25.08,33.44,546,990,1706,2867,4641,30.2,30.5,30.8,31.1,31.3,136.5,232.1,395.9,668.9,1133.0,55.8,94.8,161.8,273.3,463.0
60,3.95,830,1797,3871,8295,17972,415,760,1313,2212,3595,10.52,14.2,18.93,25.24,33.65,553,1002,1728,2903,4700,30.3,30.6,30.9,31.1,31.4,138.2,235.0,400.9,677.4,1147.5,56.3,95.8,163.4,276.1,467.7
