level,reachable_now,level_factor,xp_total,xp_this_level,group_min,group_max,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,ablative_cap_mk1,ablative_cap_mk2,ablative_cap_mk3,ablative_cap_mk4,ablative_cap_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
11,yes,2.159,19905,3088,5,22,342,741,1596,3420,7409,171,313,541,912,1482,6.75,9.12,12.15,16.21,21.61,228,413,712,1197,1938,23.3,24.2,24.9,25.6,26.2,57.0,96.9,165.3,279.3,473.1,27.7,47.1,80.4,135.9,230.2
12,yes,2.332,23184,3279,6,24,369,800,1724,3693,8002,185,339,585,985,1600,7.02,9.47,12.63,16.84,22.46,246,446,769,1293,2093,23.5,24.3,25.0,25.7,26.3,61.6,104.6,178.5,301.6,510.9,29.5,50.1,85.5,144.5,244.8
13,yes,2.518,26647,3463,6,26,399,864,1861,3989,8642,199,366,632,1064,1728,7.29,9.85,13.13,17.5,23.34,266,482,831,1396,2260,23.7,24.5,25.2,25.8,26.4,66.5,113.0,192.8,325.8,551.8,31.4,53.3,91.0,153.7,260.4
14,yes,2.72,30288,3641,7,28,431,933,2010,4308,9334,215,395,682,1149,1867,7.58,10.23,13.64,18.19,24.25,287,521,897,1508,2441,23.8,24.6,25.3,26.0,26.6,71.8,122.1,208.2,351.8,595.9,33.4,56.7,96.7,163.5,276.9
15,yes,2.937,34101,3813,7,30,465,1008,2171,4653,10080,233,426,737,1241,2016,7.88,10.63,14.18,18.9,25.2,310,562,969,1628,2636,24.0,24.8,25.5,26.1,26.7,77.5,131.8,224.9,380.0,643.6,35.5,60.3,102.9,173.9,294.5
16,yes,3.172,38081,3980,8,32,502,1089,2345,5025,10887,251,461,796,1340,2177,8.19,11.05,14.73,19.64,26.19,335,607,1047,1759,2847,24.2,24.9,25.6,26.2,26.8,83.7,142.4,242.9,410.4,695.1,37.7,64.1,109.4,184.9,313.2
17,yes,3.426,42224,4143,8,34,543,1176,2532,5427,11758,271,497,859,1447,2352,8.51,11.48,15.31,20.41,27.22,362,656,1131,1899,3075,24.3,25.0,25.7,26.3,26.9,90.4,153.8,262.3,443.2,750.7,40.1,68.2,116.4,196.6,333.1
18,yes,3.7,46525,4301,9,36,586,1270,2735,5861,12698,293,537,928,1563,2540,8.84,11.93,15.91,21.22,28.29,391,708,1221,2051,3321,24.5,25.2,25.8,26.4,27.0,97.7,166.1,283.3,478.6,810.7,42.7,72.6,123.8,209.1,354.2
19,yes,3.996,50980,4455,9,38,633,1371,2954,6330,13714,316,580,1002,1688,2743,9.19,12.4,16.54,22.05,29.4,422,765,1319,2215,3587,24.6,25.3,26.0,26.6,27.1,105.5,179.3,305.9,516.9,875.6,45.4,77.2,131.6,222.4,376.7
20,yes,4.316,55587,4607,10,40,684,1481,3190,6836,14811,342,627,1082,1823,2962,9.55,12.89,17.18,22.91,30.55,456,826,1424,2393,3874,24.8,25.5,26.1,26.7,27.2,113.9,193.7,330.4,558.3,945.7,48.3,82.1,140.0,236.5,400.6
21,yes,4.661,60341,4754,10,42,738,1600,3445,7383,15996,369,677,1169,1969,3199,9.92,13.39,17.86,23.81,31.75,492,892,1538,2584,4184,24.9,25.6,26.2,26.8,27.3,123.0,209.2,356.8,602.9,1021.3,51.3,87.3,148.9,251.5,426.1
22,yes,5.034,65241,4900,11,44,797,1728,3721,7974,17276,399,731,1262,2126,3455,10.31,13.92,18.56,24.75,32.99,532,963,1661,2791,4518,25.0,25.7,26.3,26.9,27.4,132.9,225.9,385.4,651.2,1103.0,54.6,92.8,158.3,267.5,453.1
23,yes,5.437,70282,5041,11,46,861,1866,4019,8611,18658,431,789,1363,2296,3732,10.72,14.47,19.29,25.72,34.29,574,1041,1794,3014,4880,25.2,25.8,26.4,27.0,27.5,143.5,244.0,416.2,703.3,1191.3,58.1,98.7,168.4,284.5,481.9
24,yes,5.871,75463,5181,12,48,930,2015,4340,9300,20151,465,853,1473,2480,4030,11.14,15.03,20.04,26.73,35.63,620,1124,1938,3255,5270,25.3,26.0,26.6,27.1,27.6,155.0,263.5,449.5,759.5,1286.6,61.8,105.0,179.1,302.6,512.5
25,yes,6.341,80780,5317,12,50,1004,2176,4687,10044,21763,502,921,1590,2679,4353,11.57,15.62,20.83,27.77,37.03,670,1214,2093,3516,5692,25.5,26.1,26.7,27.2,27.7,167.4,284.6,485.5,820.3,1389.5,65.7,111.6,190.4,321.8,545.1
26,yes,6.848,86233,5453,13,52,1085,2350,5062,10848,23504,542,994,1718,2893,4701,12.03,16.24,21.65,28.86,38.49,723,1311,2260,3797,6147,25.6,26.2,26.8,27.3,27.8,180.8,307.4,524.3,885.9,1500.6,69.8,118.7,202.5,342.2,579.7
27,yes,7.396,91817,5584,13,54,1172,2538,5467,11716,25384,586,1074,1855,3124,5077,12.5,16.87,22.5,30.0,40.0,781,1416,2441,4101,6639,25.7,26.3,26.9,27.4,27.9,195.3,331.9,566.3,956.8,1620.7,74.3,126.3,215.4,364.0,616.5
28,yes,7.988,97533,5716,14,56,1265,2742,5905,12653,27415,633,1160,2003,3374,5483,12.99,17.53,23.38,31.17,41.56,844,1529,2636,4429,7170,25.8,26.4,27.0,27.5,28.0,210.9,358.5,611.6,1033.3,1750.3,79.0,134.3,229.1,387.1,655.6
29,yes,8.627,103376,5843,14,58,1367,2961,6377,13665,29608,683,1253,2164,3644,5922,13.5,18.22,24.3,32.4,43.19,911,1651,2847,4783,7744,26.0,26.6,27.1,27.6,28.1,227.8,387.2,660.5,1116.0,1890.4,84.0,142.8,243.6,411.7,697.3
30,yes,9.317,109346,5970,15,60,1476,3198,6887,14759,31977,738,1353,2337,3936,6395,14.03,18.94,25.25,33.67,44.89,984,1783,3075,5165,8363,26.1,26.7,27.2,27.7,28.1,246.0,418.2,713.3,1205.3,2041.6,89.3,151.9,259.1,437.8,741.6
31,no,10.063,115442,6096,15,60,1594,3454,7438,15939,34535,797,1461,2524,4250,6907,14.58,19.68,26.24,34.99,46.65,1063,1926,3321,5579,9032,26.2,26.8,27.3,27.8,28.2,265.7,451.6,770.4,1301.7,2204.9,95.0,161.5,275.6,465.6,788.7
32,no,10.868,121660,6218,16,60,1721,3730,8033,17214,37298,861,1578,2726,4591,7460,15.15,20.45,27.27,36.36,48.48,1148,2080,3586,6025,9755,26.3,26.9,27.4,27.9,28.3,286.9,487.7,832.0,1405.8,2381.3,101.1,171.8,293.1,495.2,838.7
33,no,11.737,128000,6340,16,60,1859,4028,8676,18592,40282,930,1704,2944,4958,8056,15.74,21.25,28.34,37.79,50.38,1239,2246,3873,6507,10535,26.4,27.0,27.5,28.0,28.4,309.9,526.8,898.6,1518.3,2571.8,107.5,182.7,311.7,526.6,892.0
34,no,12.676,134459,6459,17,60,2008,4350,9370,20079,43504,1004,1841,3179,5354,8701,16.36,22.09,29.45,39.27,52.36,1339,2426,4183,7028,11378,26.6,27.1,27.6,28.1,28.5,334.6,568.9,970.5,1639.8,2777.6,114.3,194.3,331.5,560.0,948.6
35,no,13.69,141038,6579,17,60,2169,4698,10120,21685,46985,1084,1988,3433,5783,9397,17.0,22.96,30.61,40.81,54.41,1446,2620,4518,7590,12288,26.7,27.2,27.7,28.1,28.6,361.4,614.4,1048.1,1771.0,2999.8,121.6,206.6,352.5,595.6,1008.9
36,no,14.785,147733,6695,18,60,2342,5074,10929,23420,50743,1171,2147,3708,6245,10149,17.67,23.86,31.81,42.41,56.55,1561,2830,4879,8197,13271,26.8,27.3,27.8,28.2,28.7,390.3,663.6,1132.0,1912.6,3239.8,129.3,219.8,374.9,633.4,1073.0
37,no,15.968,154544,6811,18,60,2529,5480,11804,25294,54803,1265,2319,4005,6745,10961,18.36,24.79,33.06,44.07,58.77,1686,3056,5269,8853,14333,26.9,27.4,27.9,28.3,28.7,421.6,716.7,1222.5,2065.6,3498.9,137.5,233.7,398.7,673.7,1141.1
38,no,17.246,161470,6926,19,60,2732,5919,12748,27317,59187,1366,2504,4325,7285,11837,19.08,25.76,34.35,45.8,61.07,1821,3301,5691,9561,15480,27.0,27.5,28.0,28.4,28.8,455.3,774.0,1320.3,2230.9,3778.9,146.2,248.6,424.0,716.4,1213.6
39,no,18.625,168509,7039,19,60,2950,6392,13768,29502,63922,1475,2704,4671,7867,12784,19.83,26.78,35.7,47.6,63.47,1967,3565,6146,10326,16718,27.1,27.6,28.1,28.5,28.9,491.7,835.9,1426.0,2409.4,4081.2,155.5,264.3,450.9,761.9,1290.6
40,no,20.115,175660,7151,20,60,3186,6904,14869,31863,69036,1593,2921,5045,8497,13807,20.61,27.83,37.1,49.47,65.96,2124,3850,6638,11152,18055,27.2,27.7,28.1,28.6,29.0,531.0,902.8,1540.0,2602.1,4407.7,165.4,281.1,479.6,810.3,1372.6
41,no,21.725,182922,7262,20,60,3441,7456,16059,34412,74559,1721,3154,5449,9176,14912,21.42,28.92,38.56,51.41,68.54,2294,4158,7169,12044,19500,27.3,27.8,28.2,28.7,29.0,573.5,975.0,1663.2,2810.3,4760.3,175.9,299.0,510.0,861.8,1459.8
42,no,23.462,190293,7371,21,60,3716,8052,17343,37165,80523,1858,3407,5884,9911,16105,22.26,30.05,40.07,53.43,71.23,2478,4491,7743,13008,21060,27.4,27.9,28.3,28.7,29.1,619.4,1053.0,1796.3,3035.1,5141.1,187.0,318.0,542.4,916.5,1552.5
43,no,25.339,197773,7480,21,60,4014,8697,18731,40138,86965,2007,3679,6355,10703,17393,23.13,31.23,41.64,55.52,74.03,2676,4850,8362,14048,22745,27.5,28.0,28.4,28.8,29.2,669.0,1137.2,1940.0,3277.9,5552.4,198.9,338.2,576.9,974.7,1651.0
44,no,27.367,205361,7588,22,60,4335,9392,20229,43349,93922,2167,3974,6864,11560,18784,24.04,32.46,43.27,57.7,76.93,2890,5238,9031,15172,24564,27.6,28.1,28.5,28.9,29.3,722.5,1228.2,2095.2,3540.1,5996.6,211.6,359.6,613.5,1036.6,1755.9
45,no,29.556,213056,7695,22,60,4682,10144,21848,46817,101436,2341,4292,7413,12484,20287,24.98,33.73,44.97,59.96,79.95,3121,5657,9753,16386,26529,27.7,28.1,28.6,29.0,29.3,780.3,1326.5,2262.8,3823.4,6476.3,225.0,382.5,652.5,1102.4,1867.4
46,no,31.92,220856,7800,23,60,5056,10955,23596,50562,109551,2528,4635,8006,13483,21910,25.96,35.05,46.74,62.32,83.09,3371,6110,10534,17697,28652,27.8,28.2,28.7,29.0,29.4,842.7,1432.6,2443.8,4129.2,6994.4,239.3,406.8,693.9,1172.4,1986.0
47,no,34.474,228761,7905,23,60,5461,11832,25483,54607,118315,2730,5006,8646,14562,23663,26.98,36.43,48.57,64.76,86.35,3640,6598,11376,19112,30944,27.9,28.3,28.7,29.1,29.5,910.1,1547.2,2639.3,4459.6,7554.0,254.5,432.6,738.0,1246.9,2112.1
48,no,37.232,236769,8008,24,60,5898,12778,27522,58976,127780,2949,5406,9338,15727,25556,28.04,37.86,50.48,67.3,89.73,3932,7126,12287,20641,33419,28.0,28.4,28.8,29.2,29.5,982.9,1671.0,2850.5,4816.3,8158.3,270.6,460.1,784.8,1326.1,2246.2
49,no,40.211,244881,8112,24,60,6369,13800,29724,63694,138003,3185,5839,10085,16985,27601,29.14,39.34,52.46,69.94,93.25,4246,7696,13269,22293,36093,28.1,28.5,28.9,29.3,29.6,1061.6,1804.7,3078.5,5201.6,8810.9,287.8,489.3,834.7,1410.3,2388.9
50,no,43.427,253095,8214,25,60,6879,14904,32102,68789,149043,3439,6306,10892,18344,29809,30.29,40.88,54.51,72.68,96.91,4586,8312,14331,24076,38980,28.1,28.6,29.0,29.3,29.7,1146.5,1949.0,3324.8,5617.8,9515.8,306.1,520.4,887.7,1499.8,2540.6
51,no,46.902,261409,8314,25,60,7429,16097,34670,74292,160966,3715,6810,11763,19811,32193,31.47,42.49,56.65,75.54,100.71,4953,8977,15478,26002,42099,28.2,28.7,29.0,29.4,29.7,1238.2,2104.9,3590.8,6067.2,10277.1,325.5,553.4,944.0,1595.1,2701.9
52,no,50.654,269825,8416,26,60,8024,17384,37443,80236,173844,4012,7355,12704,21396,34769,32.71,44.16,58.87,78.5,104.67,5349,9695,16716,28082,45467,28.3,28.7,29.1,29.5,29.8,1337.3,2273.3,3878.1,6552.6,11099.2,346.2,588.5,1004.0,1696.4,2873.5
53,no,54.706,278339,8514,26,60,8665,18775,40439,86654,187751,4333,7943,13720,23108,37550,33.99,45.89,61.18,81.58,108.77,5777,10471,18053,30329,49104,28.4,28.8,29.2,29.5,29.9,1444.2,2455.2,4188.3,7076.8,11987.2,368.2,625.9,1067.7,1804.1,3056.0
54,no,59.083,286953,8614,27,60,9359,20277,43674,93587,202771,4679,8579,14818,24956,40554,35.32,47.69,63.58,84.78,113.04,6239,11308,19497,32755,53032,28.5,28.9,29.3,29.6,29.9,1559.8,2651.6,4523.4,7642.9,12946.2,391.6,665.7,1135.5,1918.7,3250.0
55,no,63.809,295665,8712,27,60,10107,21899,47168,101074,218993,5054,9265,16003,26953,43799,36.71,49.56,66.08,88.1,117.47,6738,12213,21057,35376,57275,28.6,29.0,29.3,29.7,30.0,1684.6,2863.8,4885.2,8254.3,13981.9,416.4,707.9,1207.7,2040.5,3456.4
56,no,68.914,304474,8809,28,60,10916,23651,50941,109160,236512,5458,10006,17284,29109,47302,38.15,51.5,68.67,91.56,122.08,7277,13190,22742,38206,61857,28.7,29.0,29.4,29.7,30.1,1819.3,3092.9,5276.0,8914.7,15100.4,442.9,752.9,1284.4,2170.1,3675.9
57,no,74.427,313379,8905,28,60,11789,25543,55016,117892,255433,5895,10807,18666,31438,51087,39.65,53.52,71.36,95.15,126.87,7859,14245,24561,41262,66806,28.7,29.1,29.5,29.8,30.1,1964.9,3340.3,5698.1,9627.9,16308.4,471.0,800.7,1365.9,2307.9,3909.3
58,no,80.381,322381,9002,29,60,12732,27587,59418,127324,275868,6366,11671,20160,33953,55174,41.2,55.62,74.16,98.89,131.85,8488,15385,26526,44563,72150,28.8,29.2,29.5,29.9,30.2,2122.1,3607.5,6154.0,10398.1,17613.1,500.9,851.6,1452.7,2454.5,4157.6
59,no,86.812,331478,9097,29,60,13751,29794,64171,137510,297937,6875,12605,21772,36669,59587,42.82,57.81,77.07,102.77,137.02,9167,16616,28648,48128,77922,28.9,29.3,29.6,29.9,30.2,2291.8,3896.1,6646.3,11230.0,19022.2,532.7,905.6,1544.9,2610.3,4421.6
60,no,93.757,340669,9191,30,60,14851,32177,69305,148510,321772,7426,13613,23514,39603,64354,44.5,60.07,80.1,106.8,142.4,9901,17945,30940,51979,84156,29.0,29.3,29.7,30.0,30.3,2475.2,4207.8,7178.0,12128.3,20543.9,566.6,963.1,1643.0,2776.1,4702.4
