level,reachable_now,level_factor,xp_total,xp_this_level,group_min,group_max,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,ablative_cap_mk1,ablative_cap_mk2,ablative_cap_mk3,ablative_cap_mk4,ablative_cap_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
28,yes,7.988,97533,5716,14,56,863,1869,4026,8627,18692,431,791,1366,2301,3738,10.73,14.48,19.31,25.74,34.32,575,1042,1797,3019,4889,20.7,21.8,22.8,23.7,24.5,143.8,244.4,417.0,704.5,1193.4,58.1,98.9,168.6,284.9,482.6
29,yes,8.627,103376,5843,14,58,932,2019,4348,9317,20187,466,854,1475,2485,4037,11.15,15.05,20.06,26.75,35.67,621,1126,1941,3261,5280,21.0,22.0,23.0,23.8,24.6,155.3,264.0,450.3,760.9,1288.9,61.8,105.1,179.3,303.0,513.3
30,yes,9.317,109346,5970,15,60,1006,2180,4696,10063,21802,503,922,1593,2683,4360,11.58,15.64,20.85,27.8,37.07,671,1216,2096,3522,5702,21.2,22.2,23.2,24.0,24.8,167.7,285.1,486.4,821.8,1392.0,65.8,111.8,190.7,322.3,545.9
31,no,10.063,115442,6096,15,60,1087,2355,5072,10868,23547,543,996,1721,2898,4709,12.04,16.25,21.67,28.89,38.52,725,1313,2264,3804,6158,21.4,22.4,23.3,24.2,24.9,181.1,307.9,525.3,887.5,1503.4,69.9,118.9,202.8,342.7,580.5
32,no,10.868,121660,6218,16,60,1174,2543,5477,11737,25430,587,1076,1858,3130,5086,12.51,16.89,22.52,30.02,40.03,782,1418,2445,4108,6651,21.6,22.6,23.5,24.3,25.0,195.6,332.6,567.3,958.5,1623.6,74.4,126.5,215.7,364.5,617.4
33,no,11.737,128000,6340,16,60,1268,2746,5915,12676,27465,634,1162,2007,3380,5493,13.0,17.55,23.4,31.2,41.6,845,1532,2641,4437,7183,21.8,22.8,23.7,24.5,25.2,211.3,359.2,612.7,1035.2,1753.5,79.1,134.5,229.4,387.6,656.6
34,no,12.676,134459,6459,17,60,1369,2966,6389,13690,29662,685,1255,2168,3651,5932,13.51,18.24,24.32,32.43,43.23,913,1654,2852,4792,7758,22.0,23.0,23.8,24.6,25.3,228.2,387.9,661.7,1118.0,1893.8,84.1,143.0,244.0,412.2,698.3
35,no,13.69,141038,6579,17,60,1479,3203,6900,14785,32035,739,1355,2341,3943,6407,14.04,18.95,25.27,33.7,44.93,986,1787,3080,5175,8378,22.2,23.2,24.0,24.8,25.5,246.4,418.9,714.6,1207.5,2045.3,89.5,152.1,259.5,438.4,742.6
36,no,14.785,147733,6695,18,60,1597,3460,7452,15968,34598,798,1464,2528,4258,6920,14.59,19.7,26.26,35.02,46.69,1065,1929,3327,5589,9049,22.4,23.3,24.2,24.9,25.6,266.1,452.4,771.8,1304.1,2208.9,95.2,161.8,276.0,466.3,789.8
37,no,15.968,154544,6811,18,60,1725,3737,8048,17246,37366,862,1581,2731,4599,7473,15.16,20.47,27.29,36.39,48.52,1150,2084,3593,6036,9773,22.6,23.5,24.3,25.0,25.7,287.4,488.6,833.5,1408.4,2385.6,101.2,172.0,293.5,495.9,840.0
38,no,17.246,161470,6926,19,60,1863,4035,8692,18625,40355,931,1707,2949,4967,8071,15.76,21.27,28.37,37.82,50.43,1242,2251,3880,6519,10554,22.8,23.7,24.5,25.2,25.8,310.4,527.7,900.2,1521.1,2576.5,107.6,183.0,312.1,527.4,893.3
39,no,18.625,168509,7039,19,60,2012,4358,9387,20115,43583,1006,1844,3185,5364,8717,16.38,22.11,29.48,39.3,52.41,1341,2431,4191,7040,11399,23.0,23.8,24.6,25.3,26.0,335.3,569.9,972.2,1642.7,2782.6,114.5,194.6,331.9,560.9,950.0
40,no,20.115,175660,7151,20,60,2172,4707,10138,21725,47070,1086,1991,3440,5793,9414,17.02,22.98,30.63,40.85,54.46,1448,2625,4526,7604,12311,23.2,24.0,24.8,25.5,26.1,362.1,615.5,1050.0,1774.2,3005.2,121.7,206.9,353.0,596.5,1010.4
41,no,21.725,182922,7262,20,60,2346,5084,10949,23462,50835,1173,2151,3715,6257,10167,17.69,23.88,31.84,42.45,56.6,1564,2835,4888,8212,13295,23.3,24.2,24.9,25.6,26.2,391.0,664.8,1134.0,1916.1,3245.6,129.5,220.1,375.4,634.4,1074.5
42,no,23.462,190293,7371,21,60,2534,5490,11825,25339,54902,1267,2323,4012,6757,10980,18.38,24.81,33.09,44.11,58.82,1689,3062,5279,8869,14359,23.5,24.3,25.0,25.7,26.3,422.3,718.0,1224.7,2069.4,3505.3,137.7,234.1,399.3,674.6,1142.8
43,no,25.339,197773,7480,21,60,2737,5929,12771,27367,59294,1368,2509,4333,7298,11859,19.1,25.79,34.38,45.84,61.13,1824,3307,5701,9578,15508,23.7,24.5,25.2,25.8,26.4,456.1,775.4,1322.7,2234.9,3785.7,146.4,248.9,424.6,717.5,1215.3
44,no,27.367,205361,7588,22,60,2956,6404,13793,29556,64038,1478,2709,4680,7882,12808,19.85,26.8,35.73,47.64,63.52,1970,3571,6157,10345,16748,23.8,24.6,25.3,26.0,26.6,492.6,837.4,1428.5,2413.7,4088.6,155.7,264.7,451.6,763.0,1292.5
45,no,29.556,213056,7695,22,60,3192,6916,14896,31920,69161,1596,2926,5054,8512,13832,20.63,27.85,37.13,49.51,66.02,2128,3857,6650,11172,18088,24.0,24.8,25.5,26.1,26.7,532.0,904.4,1542.8,2606.8,4415.7,165.6,281.5,480.3,811.5,1374.6
46,no,31.92,220856,7800,23,60,3447,7469,16088,34474,74694,1724,3160,5458,9193,14939,21.44,28.94,38.59,51.45,68.61,2298,4166,7182,12066,19535,24.2,24.9,25.6,26.2,26.8,574.6,976.8,1666.2,2815.4,4768.9,176.1,299.4,510.8,863.0,1461.9
47,no,34.474,228761,7905,23,60,3723,8067,17375,37232,80669,1862,3413,5895,9929,16134,22.28,30.08,40.11,53.47,71.3,2482,4499,7757,13031,21098,24.3,25.0,25.7,26.3,26.9,620.5,1054.9,1799.5,3040.6,5150.4,187.3,318.4,543.2,917.8,1554.7
48,no,37.232,236769,8008,24,60,4021,8712,18765,40211,87123,2011,3686,6367,10723,17425,23.15,31.26,41.68,55.57,74.1,2681,4859,8377,14074,22786,24.5,25.2,25.8,26.4,27.0,670.2,1139.3,1943.5,3283.9,5562.5,199.2,338.7,577.7,976.1,1653.4
49,no,40.211,244881,8112,24,60,4343,9409,20266,43427,94093,2171,3981,6876,11581,18819,24.06,32.49,43.31,57.75,77.0,2895,5247,9047,15200,24609,24.6,25.3,26.0,26.6,27.1,723.8,1230.4,2099.0,3546.6,6007.5,211.9,360.2,614.4,1038.1,1758.4
50,no,43.427,253095,8214,25,60,4690,10162,21887,46902,101620,2345,4299,7426,12507,20324,25.01,33.76,45.01,60.02,80.02,3127,5667,9771,16416,26578,24.8,25.5,26.1,26.7,27.2,781.7,1328.9,2266.9,3830.3,6488.1,225.3,383.0,653.4,1104.0,1870.1
51,no,46.902,261409,8314,25,60,5065,10975,23638,50654,109750,2533,4643,8020,13508,21950,25.99,35.08,46.78,62.37,83.16,3377,6121,10553,17729,28704,24.9,25.6,26.2,26.8,27.3,844.2,1435.2,2448.3,4136.7,7007.1,239.6,407.4,694.9,1174.1,1988.9
52,no,50.654,269825,8416,26,60,5471,11853,25529,54706,118530,2735,5015,8662,14588,23706,27.01,36.46,48.61,64.82,86.42,3647,6610,11397,19147,31000,25.0,25.7,26.3,26.9,27.4,911.8,1550.0,2644.1,4467.7,7567.7,254.8,433.2,739.0,1248.7,2115.2
53,no,54.706,278339,8514,26,60,5908,12801,27572,59083,128012,2954,5416,9355,15755,25602,28.07,37.89,50.52,67.36,89.81,3939,7139,12309,20679,33480,25.2,25.8,26.4,27.0,27.5,984.7,1674.0,2855.7,4825.1,8173.1,271.0,460.7,786.0,1328.0,2249.5
54,no,59.083,286953,8614,27,60,6381,13825,29778,63809,138253,3190,5849,10103,17016,27651,29.17,39.38,52.5,70.0,93.34,4254,7710,13294,22333,36159,25.3,26.0,26.6,27.1,27.6,1063.5,1807.9,3084.1,5211.1,8826.9,288.2,490.0,835.9,1412.3,2392.3
55,no,63.809,295665,8712,27,60,6891,14931,32160,68914,149313,3446,6317,10911,18377,29863,30.31,40.92,54.56,72.75,97.0,4594,8327,14357,24120,39051,25.5,26.1,26.7,27.2,27.7,1148.6,1952.6,3330.8,5628.0,9533.1,306.5,521.1,889.0,1502.0,2544.2
56,no,68.914,304474,8809,28,60,7443,16126,34733,74427,161258,3721,6822,11784,19847,32252,31.5,42.53,56.7,75.6,100.81,4962,8993,15506,26049,42175,25.6,26.2,26.8,27.3,27.8,1240.4,2108.8,3597.3,6078.2,10295.7,326.0,554.2,945.4,1597.4,2705.8
57,no,74.427,313379,8905,28,60,8038,17416,37511,80381,174159,4019,7368,12727,21435,34832,32.74,44.2,58.93,78.57,104.76,5359,9713,16746,28133,45549,25.7,26.3,26.9,27.4,27.9,1339.7,2277.5,3885.1,6564.5,11119.4,346.7,589.4,1005.4,1698.9,2877.6
58,no,80.381,322381,9002,29,60,8681,18809,40512,86812,188092,4341,7958,13745,23150,37618,34.02,45.93,61.24,81.65,108.87,5787,10490,18086,30384,49193,25.8,26.4,27.0,27.5,28.0,1446.9,2459.7,4195.9,7089.6,12008.9,368.7,626.8,1069.3,1806.7,3060.4
59,no,86.812,331478,9097,29,60,9376,20314,43753,93757,203139,4688,8594,14845,25002,40628,35.36,47.73,63.64,84.86,113.14,6250,11329,19533,32815,53129,26.0,26.6,27.1,27.6,28.1,1562.6,2656.4,4531.6,7656.8,12969.7,392.1,666.6,1137.2,1921.5,3254.7
60,no,93.757,340669,9191,30,60,10126,21939,47253,101257,219390,5063,9282,16032,27002,43878,36.74,49.6,66.14,88.18,117.58,6750,12235,21095,35440,57379,26.1,26.7,27.2,27.7,28.1,1687.6,2869.0,4894.1,8269.3,14007.2,417.0,709.0,1209.4,2043.5,3461.4
