level,level_factor,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
22,2.05,246,533,1148,2460,5330,123,225,389,656,1066,5.73,7.73,10.31,13.75,18.33,164,297,512,861,1394,21.6,22.6,23.5,24.3,25.0,41.0,69.7,118.9,200.9,340.3,21.3,36.2,61.8,104.4,176.9
23,2.1,252,546,1176,2520,5460,126,231,399,672,1092,5.8,7.83,10.43,13.91,18.55,168,304,525,882,1428,21.8,22.8,23.7,24.5,25.2,42.0,71.4,121.8,205.8,348.6,21.7,36.9,63.0,106.5,180.3
24,2.15,258,559,1204,2580,5590,129,237,409,688,1118,5.87,7.92,10.56,14.08,18.77,172,312,538,903,1462,22.0,23.0,23.8,24.6,25.3,43.0,73.1,124.7,210.7,356.9,22.1,37.6,64.2,108.5,183.7
25,2.2,264,572,1232,2640,5720,132,242,418,704,1144,5.93,8.01,10.68,14.24,18.99,176,319,550,924,1496,22.2,23.2,24.0,24.8,25.5,44.0,74.8,127.6,215.6,365.2,22.5,38.3,65.4,110.5,187.2
26,2.25,270,585,1260,2700,5850,135,248,428,720,1170,6.0,8.1,10.8,14.4,19.2,180,326,562,945,1530,22.4,23.3,24.2,24.9,25.6,45.0,76.5,130.5,220.5,373.5,23.0,39.0,66.6,112.5,190.5
27,2.3,276,598,1288,2760,5980,138,253,437,736,1196,6.07,8.19,10.92,14.56,19.41,184,334,575,966,1564,22.6,23.5,24.3,25.0,25.7,46.0,78.2,133.4,225.4,381.8,23.4,39.7,67.8,114.5,193.9
28,2.35,282,611,1316,2820,6110,141,258,446,752,1222,6.13,8.28,11.04,14.72,19.62,188,341,588,987,1598,22.8,23.7,24.5,25.2,25.8,47.0,79.9,136.3,230.3,390.1,23.8,40.4,68.9,116.5,197.3
29,2.4,288,624,1344,2880,6240,144,264,456,768,1248,6.2,8.37,11.15,14.87,19.83,192,348,600,1008,1632,23.0,23.8,24.6,25.3,26.0,48.0,81.6,139.2,235.2,398.4,24.2,41.1,70.1,118.5,200.6
30,2.45,294,637,1372,2940,6370,147,270,466,784,1274,6.26,8.45,11.27,15.03,20.04,196,355,612,1029,1666,23.2,24.0,24.8,25.5,26.1,49.0,83.3,142.1,240.1,406.7,24.6,41.8,71.3,120.4,204.0
31,2.5,300,650,1400,3000,6500,150,275,475,800,1300,6.32,8.54,11.38,15.18,20.24,200,362,625,1050,1700,23.3,24.2,24.9,25.6,26.2,50.0,85.0,145.0,245.0,415.0,25.0,42.5,72.4,122.4,207.3
32,2.55,306,663,1428,3060,6630,153,280,484,816,1326,6.39,8.62,11.5,15.33,20.44,204,370,638,1071,1734,23.5,24.3,25.0,25.7,26.3,51.0,86.7,147.9,249.9,423.3,25.4,43.1,73.6,124.3,210.6
33,2.6,312,676,1456,3120,6760,156,286,494,832,1352,6.45,8.71,11.61,15.48,20.64,208,377,650,1092,1768,23.7,24.5,25.2,25.8,26.4,52.0,88.4,150.8,254.8,431.6,25.8,43.8,74.7,126.3,213.9
34,2.65,318,689,1484,3180,6890,159,292,504,848,1378,6.51,8.79,11.72,15.63,20.84,212,384,663,1113,1802,23.8,24.6,25.3,26.0,26.6,53.0,90.1,153.7,259.7,439.9,26.2,44.5,75.9,128.2,217.2
35,2.7,324,702,1512,3240,7020,162,297,513,864,1404,6.57,8.87,11.83,15.77,21.03,216,392,675,1134,1836,24.0,24.8,25.5,26.1,26.7,54.0,91.8,156.6,264.6,448.2,26.6,45.2,77.0,130.2,220.5
36,2.75,330,715,1540,3300,7150,165,302,522,880,1430,6.63,8.95,11.94,15.92,21.23,220,399,688,1155,1870,24.2,24.9,25.6,26.2,26.8,55.0,93.5,159.5,269.5,456.5,27.0,45.8,78.2,132.1,223.7
37,2.8,336,728,1568,3360,7280,168,308,532,896,1456,6.69,9.04,12.05,16.06,21.42,224,406,700,1176,1904,24.3,25.0,25.7,26.3,26.9,56.0,95.2,162.4,274.4,464.8,27.3,46.5,79.3,134.0,227.0
38,2.85,342,741,1596,3420,7410,171,314,542,912,1482,6.75,9.12,12.15,16.21,21.61,228,413,712,1197,1938,24.5,25.2,25.8,26.4,27.0,57.0,96.9,165.3,279.3,473.1,27.7,47.2,80.4,135.9,230.2
39,2.9,348,754,1624,3480,7540,174,319,551,928,1508,6.81,9.2,12.26,16.35,21.8,232,421,725,1218,1972,24.6,25.3,26.0,26.6,27.1,58.0,98.6,168.2,284.2,481.4,28.1,47.8,81.6,137.8,233.4
40,2.95,354,767,1652,3540,7670,177,324,560,944,1534,6.87,9.27,12.37,16.49,21.98,236,428,738,1239,2006,24.8,25.5,26.1,26.7,27.2,59.0,100.3,171.1,289.1,489.7,28.5,48.5,82.7,139.7,236.7
41,3.0,360,780,1680,3600,7800,180,330,570,960,1560,6.93,9.35,12.47,16.63,22.17,240,435,750,1260,2040,24.9,25.6,26.2,26.8,27.3,60.0,102.0,174.0,294.0,498.0,28.9,49.1,83.8,141.6,239.9
42,3.05,366,793,1708,3660,7930,183,336,580,976,1586,6.99,9.43,12.57,16.77,22.35,244,442,763,1281,2074,25.0,25.7,26.3,26.9,27.4,61.0,103.7,176.9,298.9,506.3,29.3,49.8,84.9,143.5,243.1
43,3.1,372,806,1736,3720,8060,186,341,589,992,1612,7.04,9.51,12.68,16.9,22.54,248,450,775,1302,2108,25.2,25.8,26.4,27.0,27.5,62.0,105.4,179.8,303.8,514.6,29.7,50.4,86.0,145.4,246.2
44,3.15,378,819,1764,3780,8190,189,346,598,1008,1638,7.1,9.58,12.78,17.04,22.72,252,457,788,1323,2142,25.3,26.0,26.6,27.1,27.6,63.0,107.1,182.7,308.7,522.9,30.0,51.1,87.1,147.2,249.4
45,3.2,384,832,1792,3840,8320,192,352,608,1024,1664,7.16,9.66,12.88,17.17,22.9,256,464,800,1344,2176,25.5,26.1,26.7,27.2,27.7,64.0,108.8,185.6,313.6,531.2,30.4,51.7,88.2,149.1,252.6
46,3.25,390,845,1820,3900,8450,195,358,618,1040,1690,7.21,9.73,12.98,17.31,23.08,260,471,812,1365,2210,25.6,26.2,26.8,27.3,27.8,65.0,110.5,188.5,318.5,539.5,30.8,52.4,89.3,151.0,255.7
47,3.3,396,858,1848,3960,8580,198,363,627,1056,1716,7.27,9.81,13.08,17.44,23.25,264,479,825,1386,2244,25.7,26.3,26.9,27.4,27.9,66.0,112.2,191.4,323.4,547.8,31.2,53.0,90.4,152.8,258.9
48,3.35,402,871,1876,4020,8710,201,368,636,1072,1742,7.32,9.88,13.18,17.57,23.43,268,486,838,1407,2278,25.8,26.4,27.0,27.5,28.0,67.0,113.9,194.3,328.3,556.1,31.6,53.7,91.5,154.7,262.0
49,3.4,408,884,1904,4080,8840,204,374,646,1088,1768,7.38,9.96,13.28,17.7,23.6,272,493,850,1428,2312,26.0,26.6,27.1,27.6,28.1,68.0,115.6,197.2,333.2,564.4,31.9,54.3,92.6,156.5,265.1
50,3.45,414,897,1932,4140,8970,207,380,656,1104,1794,7.43,10.03,13.37,17.83,23.77,276,500,862,1449,2346,26.1,26.7,27.2,27.7,28.1,69.0,117.3,200.1,338.1,572.7,32.3,54.9,93.7,158.4,268.2
51,3.5,420,910,1960,4200,9100,210,385,665,1120,1820,7.48,10.1,13.47,17.96,23.95,280,508,875,1470,2380,26.2,26.8,27.3,27.8,28.2,70.0,119.0,203.0,343.0,581.0,32.7,55.6,94.8,160.2,271.3
52,3.55,426,923,1988,4260,9230,213,391,674,1136,1846,7.54,10.17,13.57,18.09,24.12,284,515,888,1491,2414,26.3,26.9,27.4,27.9,28.3,71.0,120.7,205.9,347.9,589.3,33.1,56.2,95.9,162.0,274.4
53,3.6,432,936,2016,4320,9360,216,396,684,1152,1872,7.59,10.25,13.66,18.21,24.29,288,522,900,1512,2448,26.4,27.0,27.5,28.0,28.4,72.0,122.4,208.8,352.8,597.6,33.4,56.8,97.0,163.8,277.5
54,3.65,438,949,2044,4380,9490,219,402,694,1168,1898,7.64,10.32,13.76,18.34,24.45,292,529,913,1533,2482,26.6,27.1,27.6,28.1,28.5,73.0,124.1,211.7,357.7,605.9,33.8,57.5,98.0,165.7,280.6
55,3.7,444,962,2072,4440,9620,222,407,703,1184,1924,7.69,10.39,13.85,18.47,24.62,296,536,925,1554,2516,26.7,27.2,27.7,28.1,28.6,74.0,125.8,214.6,362.6,614.2,34.2,58.1,99.1,167.5,283.7
56,3.75,450,975,2100,4500,9750,225,412,712,1200,1950,7.75,10.46,13.94,18.59,24.79,300,544,938,1575,2550,26.8,27.3,27.8,28.2,28.7,75.0,127.5,217.5,367.5,622.5,34.5,58.7,100.2,169.3,286.7
57,3.8,456,988,2128,4560,9880,228,418,722,1216,1976,7.8,10.53,14.04,18.71,24.95,304,551,950,1596,2584,26.9,27.4,27.9,28.3,28.7,76.0,129.2,220.4,372.4,630.8,34.9,59.4,101.3,171.1,289.8
58,3.85,462,1001,2156,4620,10010,231,424,732,1232,2002,7.85,10.6,14.13,18.84,25.12,308,558,962,1617,2618,27.0,27.5,28.0,28.4,28.8,77.0,130.9,223.3,377.3,639.1,35.3,60.0,102.3,172.9,292.8
59,3.9,468,1014,2184,4680,10140,234,429,741,1248,2028,7.9,10.66,14.22,18.96,25.28,312,566,975,1638,2652,27.1,27.6,28.1,28.5,28.9,78.0,132.6,226.2,382.2,647.4,35.6,60.6,103.4,174.7,295.9
60,3.95,474,1027,2212,4740,10270,237,434,750,1264,2054,7.95,10.73,14.31,19.08,25.44,316,573,988,1659,2686,27.2,27.7,28.1,28.6,29.0,79.0,134.3,229.1,387.1,655.7,36.0,61.2,104.4,176.5,298.9
